,URL,Date,Monthly Rent,Bedrooms,Bathrooms,Area in sqft,Distance
0,https://boston.craigslist.org/gbs/apa/d/nahant-beautiful-apartment-in-nahant-ma/7514364453.html,Thu 28 Jul 09:48:48 AM,1675.0,1,1.0,,8.33995
1,https://boston.craigslist.org/bmw/apa/d/needham-studio-apartment-in-private/7514362336.html,Thu 28 Jul 09:43:15 AM,1650.0,1,1.0,,11.46683
2,https://boston.craigslist.org/gbs/apa/d/cambridge-no-fee-modern-studio-nr/7514362282.html,Thu 28 Jul 09:43:07 AM,2200.0,0,1.0,,4.7125
3,https://boston.craigslist.org/bmw/apa/d/holliston-large-one-bedroom-condo/7514358353.html,Thu 28 Jul 09:31:25 AM,1600.0,1,1.0,700,21.49712
4,https://boston.craigslist.org/gbs/apa/d/somerville-35-bedroom-house-inman-union/7514355590.html,Thu 28 Jul 09:23:17 AM,3600.0,3,1.0,,3.42988
5,https://boston.craigslist.org/nos/apa/d/wakefield-gorgeous-bed-bath-wakefield/7514355374.html,Thu 28 Jul 09:22:36 AM,2500.0,2,2.0,1500,10.82893
6,https://boston.craigslist.org/gbs/apa/d/cambridge-bedroom-and-study-huron/7514355194.html,Thu 28 Jul 09:22:02 AM,2800.0,2,1.0,,4.7125
7,https://boston.craigslist.org/gbs/apa/d/cambridge-amazing-bed-davis-aelwife/7514355085.html,Thu 28 Jul 09:21:39 AM,2800.0,2,1.0,,5.66194
8,https://boston.craigslist.org/gbs/apa/d/somerville-bedroom-bath-pets-ok/7514354957.html,Thu 28 Jul 09:21:18 AM,4800.0,4,2.0,,3.97625
9,https://boston.craigslist.org/gbs/apa/d/somerville-bedroom-union-cats-ok/7514354809.html,Thu 28 Jul 09:20:51 AM,3300.0,3,1.0,,3.97625
10,https://boston.craigslist.org/gbs/apa/d/cambridge-bedroomharvard-lawheat-and/7514354574.html,Thu 28 Jul 09:20:08 AM,5000.0,4,1.0,1800,3.35578
11,https://boston.craigslist.org/gbs/apa/d/somerville-no-broker-fee-washer-dryer/7514350308.html,Thu 28 Jul 09:06:21 AM,4700.0,4,2.0,,3.58473
12,https://boston.craigslist.org/nos/apa/d/beverly-nice-one-bedroom-apartment/7514346273.html,Thu 28 Jul 08:52:44 AM,1400.0,1,1.0,900,16.42673
13,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-sept1-brand-new-4b/7514343332.html,Thu 28 Jul 08:40:40 AM,4700.0,4,2.0,1400,3.58473
14,https://boston.craigslist.org/gbs/apa/d/brighton-spacious-studio-on/7514343211.html,Thu 28 Jul 08:40:13 AM,1800.0,1,1.0,,5.75577
