,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
1,https://boston.craigslist.org/gbs/apa/d/somerville-davis-porter-sq-modern-bed/7514579965.html,Thu 28 Jul 05:25:21 PM,3350.0,2,1.0,850.0,5.24023,"(3300, 5100]"
2,https://boston.craigslist.org/gbs/apa/d/somerville-somerville-spacious-two/7514560921.html,Thu 28 Jul 04:41:21 PM,2650.0,2,1.0,1025.0,4.36249,"(2520, 3300]"
3,https://boston.craigslist.org/gbs/apa/d/cambridge-beautiful-fully-renovated-br/7514552755.html,Thu 28 Jul 04:22:55 PM,4115.0,2,1.0,1001.0,4.7125,"(3300, 5100]"
4,https://boston.craigslist.org/gbs/apa/d/revere-modern-sunny-beach-front-bedroom/7514547402.html,Thu 28 Jul 04:10:46 PM,1895.0,1,1.0,750.0,5.14923,"(795, 2520]"
5,https://boston.craigslist.org/gbs/apa/d/cambridge-no-fee-beautifully-rehabbed/7514530629.html,Thu 28 Jul 03:33:46 PM,3255.0,2,1.5,657.0,4.7125,"(2520, 3300]"
6,https://boston.craigslist.org/gbs/apa/d/cambridge-prime-kendall-square-location/7514514012.html,Thu 28 Jul 02:59:40 PM,2500.0,2,1.0,592.0,3.09176,"(795, 2520]"
8,https://boston.craigslist.org/gbs/apa/d/cambridge-fully-furnished-studio-with/7514496832.html,Thu 28 Jul 02:25:00 PM,1995.0,1,1.0,400.0,2.6484,"(795, 2520]"
12,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-private-jp-studio/7514485950.html,Thu 28 Jul 02:03:15 PM,1300.0,0,1.0,350.0,3.94778,"(795, 2520]"
13,https://boston.craigslist.org/gbs/apa/d/melrose-sunny-large-450-sq-ft-studio/7514462813.html,Thu 28 Jul 01:17:20 PM,1395.0,0,1.0,450.0,7.86347,"(795, 2520]"
14,https://boston.craigslist.org/gbs/apa/d/chelsea-snuggle-up-with-fido-in-our/7514458982.html,Thu 28 Jul 01:10:02 PM,2313.0,1,1.0,648.0,3.88054,"(795, 2520]"
15,https://boston.craigslist.org/gbs/apa/d/somerville-pet-friendly-with-gated-yard/7514455061.html,Thu 28 Jul 01:02:39 PM,3000.0,3,1.0,1300.0,4.69991,"(2520, 3300]"
16,https://boston.craigslist.org/gbs/apa/d/boston-north-end-1b1b-with-hardwood/7514441718.html,Thu 28 Jul 12:37:18 PM,2500.0,1,1.0,550.0,1.5939,"(795, 2520]"
17,https://boston.craigslist.org/gbs/apa/d/dorchester-bedroom-apartment-near-jfk/7514440375.html,Thu 28 Jul 12:34:36 PM,2500.0,2,1.0,1150.0,1.88378,"(795, 2520]"
18,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-elegant-spacious-studio/7514423364.html,Thu 28 Jul 12:02:02 PM,2100.0,1,1.0,800.0,4.14997,"(795, 2520]"
19,https://boston.craigslist.org/gbs/apa/d/chestnut-hill-one-bedroom-at-broadlawn/7514404330.html,Thu 28 Jul 11:21:44 AM,2300.0,1,1.0,780.0,6.92266,"(795, 2520]"
20,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-sept-gorgeous-jamaica/7514395117.html,Thu 28 Jul 11:01:22 AM,2600.0,1,1.0,1000.0,3.78027,"(2520, 3300]"
21,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-one-bed-jul-sept-move-in/7514394371.html,Thu 28 Jul 10:59:58 AM,2300.0,1,1.0,624.0,4.03658,"(795, 2520]"
23,https://boston.craigslist.org/gbs/apa/d/brighton-bedroom-in-boston-brighton/7514387601.html,Thu 28 Jul 10:44:13 AM,2700.0,2,1.0,800.0,5.68072,"(2520, 3300]"
25,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-sept1-brand-new-4b/7514343332.html,Thu 28 Jul 08:40:40 AM,4700.0,4,2.0,1400.0,3.58473,"(3300, 5100]"
26,https://boston.craigslist.org/gbs/apa/d/cambridge-bed-bath-study-large-private/7514335724.html,Thu 28 Jul 08:06:26 AM,4250.0,3,1.0,1500.0,3.79756,"(3300, 5100]"
27,https://boston.craigslist.org/gbs/apa/d/cambridge-basement-one-bedroom/7514330271.html,Thu 28 Jul 07:34:05 AM,1300.0,1,1.5,400.0,3.3116,"(795, 2520]"
30,https://boston.craigslist.org/gbs/apa/d/medford-neartufts-beautiful-bedroom-apt/7514306590.html,Thu 28 Jul 02:00:02 AM,2800.0,3,1.0,1142.0,5.9793,"(2520, 3300]"
31,https://boston.craigslist.org/gbs/apa/d/cambridge-no-fee-block-to-cambridgeside/7514296726.html,Thu 28 Jul 12:28:07 AM,1195.0,1,1.0,1000.0,2.3738,"(795, 2520]"
32,https://boston.craigslist.org/gbs/apa/d/medford-ready-31-gut-renovation-br-bath/7514273512.html,Wed 27 Jul 10:20:36 PM,3600.0,3,1.0,1300.0,6.03923,"(3300, 5100]"
33,https://boston.craigslist.org/gbs/apa/d/cambridge-arlington-rooms-25-bedrooms/7514272082.html,Wed 27 Jul 10:14:19 PM,2600.0,2,1.0,1300.0,6.64149,"(2520, 3300]"
34,https://boston.craigslist.org/gbs/apa/d/somerville-solid-bedroom-apt-with-heat/7514261806.html,Wed 27 Jul 09:32:48 PM,2000.0,1,1.0,600.0,4.64457,"(795, 2520]"
35,https://boston.craigslist.org/gbs/apa/d/somerville-2br-ba-with-garage-parking/7514242446.html,Wed 27 Jul 08:28:55 PM,2000.0,2,1.0,1200.0,5.51567,"(795, 2520]"
36,https://boston.craigslist.org/gbs/apa/d/south-boston-bed-bath-south-boston-east/7514213088.html,Wed 27 Jul 07:05:01 PM,3000.0,2,1.0,720.0,1.19609,"(2520, 3300]"
37,https://boston.craigslist.org/gbs/apa/d/cambridge-1-priv-suite-inc-solarium/7514209371.html,Wed 27 Jul 06:54:56 PM,990.0,1,1.0,500.0,3.37354,"(795, 2520]"
38,https://boston.craigslist.org/gbs/apa/d/boston-rooftop-grilling-area-rooftop/7514201297.html,Wed 27 Jul 06:33:54 PM,4775.0,1,1.0,901.0,1.80581,"(3300, 5100]"
39,https://boston.craigslist.org/gbs/apa/d/boston-yoga-room-moving-services-with/7514198855.html,Wed 27 Jul 06:27:58 PM,3074.0,0,1.0,453.0,1.00325,"(2520, 3300]"
41,https://boston.craigslist.org/gbs/apa/d/boston-high-efficiency-led-lighting-dog/7514195772.html,Wed 27 Jul 06:19:53 PM,2782.0,1,1.0,597.0,1.77868,"(2520, 3300]"
